,Relation Type,E1,E2,FACT
201,同级同伴,梁亦清,蒲老板,但梁亦清虽然手艺高强，却秉性木讷，不擅言辞，又无文化，没有本事应付生意场中的交际和争斗倾轧，足不出户，只会埋头做活儿。他的产品，供应各家古玩玉器商店，更通过汇远斋的蒲老板批量远销海外，都卖了好价钱，他却只从订户手中收取预订的价钱，任凭人家靠他的手艺赚钱，也不抱怨，安贫守摊，本小利薄，靠两只手不停地做，维持一家人生计，多年来奇珍斋并无发展。
202,亲人,尤氏,贾母,因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒请贾母、邢夫人、王夫人等赏花。是日，先带了贾蓉夫妻二人来面请贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。
203,对立,萧炎,云山,"“小子，三年前你从这里逃走了，今日，本宗会让你命丧此处!”

    脸庞浮现一抹狞笑，云山阴测测的道。

    “斗宗强者的骨骸。我正需要一副，虽然很厌恶你这老狗，可也凑合着用吧。”萧炎笑道。"
204,亲人,张援朝,张卫明,这时，张援朝的儿子张卫明领着孙子张延走进家门。
205,上下级,维德,于维民,除了局长维德外，PIA还有三位副局长，分别来自英国、法国和中国。来自中国的于维民副局长首先讲话，程心不知道他来自国内什么部门
206,同一人,丁仪,丁老,他对丁仪说：“丁老，对您的考察，舰队是这样安排的：当无人飞船完成对目标的捕获后，对其进行一段时间的观察，如果没有发现异常，您将乘穿梭艇进入捕获飞船，对目标进行零距离考察，您在那里停留的时间不能超过十五分钟。这位是西子少校，她将代表亚洲舰队全程陪同您完成考察。”
207,同级同伴,贾雨村,冷子兴,雨村不耐烦，仍退出来，意欲到那村肆中沽饮三杯，以助野趣，于是移步行来。刚入肆门，只见座上吃酒之客，有一人起身大笑，接了出来，口内说：“奇遇，奇遇！”雨村忙看时，此人是都中古董行中贸易，姓冷号子兴的，旧日在都相识。雨村最赞这冷子兴是个有作为大本领的人，这子兴又借雨村斯文之名，故二人最相投契。雨村忙亦笑问：“老兄何日到此？弟竟不知。今日偶遇，真奇缘也！”子兴道：“去岁年底到家。今因还要入都，从此顺路找个敝友说一句话，承他的情，留我多住两日。我也无甚紧事，且盘桓两日，待月半时也就起身了。今日敝友有事，我因闲走到此，不期这样巧遇！”一面说，一面让雨村同席坐了，另整上酒肴来，二人闲谈慢饮，叙些别后之事。
208,对立,萧炎,白山,"“你凭什么？”萧炎手中重尺插在地面，微笑道。

    “凭我五星大斗师的实力和这个，白山嘴角挑起一抹阴冷"
209,亲人,家珍,有庆,每天蒙蒙亮时，家珍就把有庆叫醒，这孩子把镰刀扔在篮子里，一只手提着，一只手搓着眼睛跌跌冲冲走出屋门去割草，那样子怪可怜的，孩子在这个年纪是最睡不醒的，可有什么办法呢？没有有庆去割草，两头羊就得饿死。
210,对立,萧炎,白程,森然道：”如今你们自己找上门，那么想必约定已经没什么用了，既然这样，那也即别怪我白帮以大欺小你来试试？萧炎眼神阴寒如蛇，右手微旋，巨大的玄重尺闪现而出
211,喜欢,萧炎,彩鳞,"听得萧炎突然间的话语，彩鳞娇躯顿时微微一颤。

    望着彩鳞有些僵硬的娇躯，萧炎缓步走上,却是见到那张平日里冷艳的脸颊，此刻,却是极为罕见的被一种绯红所取代,看上去,越发的妖娆动人。"
212,同一人,杨冬,冬冬,"汪淼注意到的第二件东西是放在写字台一角的一本厚厚的大本子，首先令他迷惑的是本子的材质，他看到封面上有一行稚拙的字：“杨冬的huà（桦）皮本。”这才知道这本子是桦树皮做的，时光已经使银白色的桦皮变成暗黄。他伸手触了一下本子，犹豫了一下又缩了回来。
 
  “你看吧，那是冬冬小时候的画儿。”杨母在门口说。"
213,对立,萧炎,白山,枪影消散，萧炎猛然前踏一步，脸庞上的面甲头盔几乎是在瞬间便是消散，手中重尺横飞而出，庞大的力量带起撕裂空气的尖锐音爆之声，对着白山脑袋狠狠砸去。
214,亲人,萧炎,萧媚,少女坐在柔软的沙中，望着那缓缓上楼的背影贝齿紧咬着红唇，眸子中充斥着黯淡与悔意，有些事错了后，便是再也弥补不了，在当初萧炎未成为废物之前，萧媚与萧炎间的关系不客气的说，甚至能够与那时的薰儿相比肩，可是从天才陨落后，她却是选条与薰儿截然不同的方向，薰儿是依然不离不弃，而颇为现实的在两人之间，划出了一条极伤人心的界限而那条界限至今依然存在，任她如何修补是有着刺眼的裂缝。
215,同级同伴,丁仪,史强,当史强推门进来时，两人已经喝得有八分醉了，他们看到大史后都很兴奋。汪淼站起来搂住来者的双肩，“啊，大史，史警官……”丁仪则晃晃悠悠地找了个杯子放到台球桌上，给他倒酒，“你那个邪招还不如不出。那个信息，我们看不看，四百多年后的结果都一样。”
216,上下级,针眼,冰沙王子,"盛宴继续进行，冰沙王子把针眼画师拉到宫殿的一个角落，低声问道：“都记住了吗？”
 
 针眼画师头低低的，脸全部隐藏在斗篷帽的阴影里，使那件斗篷看上去仿佛是空的，里面只有黑影没有躯体。“记住了，我的王。”"
217,亲人,黛玉,迎春,宝钗日与黛玉迎春姊妹等一处，或看书下棋，或做针黹，倒也十分相安。
218,亲人,迎春,惜春,迎春姊妹三个告了坐方上来，迎春坐右手第一，探春左第二，惜春右第二。旁边丫鬟执著拂尘漱盂巾帕。李纨凤姐立于案旁布让。外间伺候的媳妇丫鬟虽多，却连一声咳嗽不闻。饭毕，各各有丫鬟用小茶盘捧上茶来。当日林家教女以惜福养身，每饭后必过片时方吃茶，不伤脾胃。今黛玉见了这里许多规矩不似家中，也只得随和著些。接了茶，又有人捧过漱盂来，黛玉也漱了口。又盥手毕，然后又捧上茶来，这方是吃的茶。
219,亲人,黛玉,贾母,黛玉方进房，只见两个人扶著一位鬓发如银的老母迎上来。黛玉知是外祖母，正欲下拜，早被外祖母抱住，搂入怀中，“心肝儿肉”叫著大哭起来。当下侍立之人无不落泪，黛玉也哭个不休。待众人慢慢劝解住了，那黛玉方拜见了外祖母，贾母方一一指与黛玉道：“这是你大舅母。这是二舅母。这是你先前珠大哥的媳妇珠大嫂子。”黛玉一一拜见了。贾母又叫：“请姑娘们来。今日远客来了，可以不必上学去。”众人答应了一声，便去了两个。
220,亲人,韩子奇,韩太太,节外生枝的男女私情打碎了韩子奇在妻子心中的形象，打碎了韩太太的一切希望，这远远超过了钻石戒指的失落和奇珍斋的倒闭，她生命的全部意义都不存在了。
221,上下级,新月,楚雁潮,窗外渐渐地暗了，新月巴不得听老师多谈一些她所羡慕的翻译工作，却又意识到自己把老师宝贵的时间耽误得太多了，歉意地站起身说：“哦，老师，您忙吧，我就不打扰了！”楚雁潮懊悔刚才不该感叹“时间”，尴尬地说：“我……并没有下逐客令啊……”
222,喜欢,萧炎,美杜莎,"瞧的美杜莎那抬起的纤手，萧炎一怔。不由自主的伸手抓住，望着那掩藏在袖中手臂上的一条条伤痕，眉头一皱，道：“你受伤了？怎么回事？”

    被萧炎当着这么多族人的面抓住手，美。杜莎那妖艳的脸颊上也是浮现一抹红润，赶忙抽回"
223,对立,萧炎,萧宁,训练场的边缘处，正准备看萧炎笑话的萧宁也是呆滞的瞪着石碑上的大字，失声喃喃道：“这…怎么可能?”
224,喜欢,萧炎,小医仙,"小医仙用仅有自己方才能听见的声音低低自语了一声，旋即俏美的脸颊上，掀起一抹淡淡的温柔笑容，这抹笑容与以往不同，似乎此时，在其中添加了什么，令得这份美丽笑容，越加的动人与温醇。

    萧炎微闭的双眼，片刻后便是缓缓睁开，冲着小医仙笑道"
225,同一人,贾母,老祖宗,一时，宝玉倦怠，欲睡中觉。贾母命人好生哄著，歇息一回再来。贾蓉之妻秦氏便忙笑道：“我们这里有给宝二叔收拾下的屋子，老祖宗放心，只管交给我就是了。”
226,喜欢,萧炎,萧媚,在萧媚面前站了一会，望着那张比以前更加美丽与充满魅惑的脸颊，萧炎淡笑着点了点头，没有过多的热情，当年在自己变成废物后，面前少女所选择的那种避嫌举止，将幼时的他彻底伤害因此，这也让得萧炎对她很是有些抗拒性，虽然经过两三年时间，那种抗拒性也淡了许多，不过绕是如此炎也并未露出太过亲热的表情，陪着薰儿萧玉等人在厅房中与萧媚聊了一会后，便是随意找了个借口，起身回了自己的房间。
227,亲人,韩太太,新月,“妈，我走了。”新月走到上房廊下，朝着里面说。“走吧，走吧，早晚有这么一天……”韩太太的声音从里面传出来，真像打发女儿出嫁似的那么不大情愿而又无可奈何。
228,喜欢,萧炎,小医仙,闻言，萧炎目光也是看了一眼面前那比起以前清瘦了一些的小医仙，一时间心头涌上一抹复杂情绪，这世上最难消受的，便是美人恩啊，小医仙当初跟着他离开出云帝国，去黑角域，然后再赶往中州，这之中万里迢迢，但却并未说过半句怨言，虽说萧炎全心全力帮助她解决了厄难毒休，但依旧是难以抵消这等相随之情啊。
229,喜欢,萧炎,云韵,下移的目光，停留在云韵那张惨白得令人怜惜的脸颊上，在那一霎，萧炎眼芒有着瞬间的柔软。
230,上下级,伊文斯,叶文洁,"叶文洁脸上仍是一片平静，现在，没有什么能使她震惊了。
 
 伊文斯指着身后密密的人群说：“你现在看到的，是地球三体组织的首批成员，我们的理想是请三体文明改造人类文明，遏制人类的疯狂和邪恶，让地球再次成为一个和谐繁荣、没有罪恶的世界。认同我们理想的人越来越多，我们的组织在急剧扩大中，成员遍布整个世界。”
 
 “我能做什么？”叶文洁轻声地问。“您将成为地球三体运动的最高统帅，地球三体战士都认同您的资格！”
 
 叶文洁沉默了几秒钟，缓缓地点点头，“我尽力而为。”"
231,喜欢,萧炎,小医仙,见状，小医仙方才微微一笑，直接是伸出玉手，挽着萧炎的手臂，然后推着后者有些僵硬的身体，行入房间…
232,对立,萧炎,云山,听得由萧炎嘴中轻轻飘飘的传出那个令人有些毛骨悚然的名字，云山眼嗔骤然一缩，声音在此刻变得嘶哑阴森了许多：“你竟然知道魂殿？哦，对了，想必你体内那个灵魂体告诉你的吧!”
233,喜欢,萧炎,小医仙,进入房间，还不待萧炎说什么，那小医仙便是飞快的抽回玉手，转过身去，隐隐间萧炎能够看见那绯红的晶莹耳垂，当下便是忍不住的一笑。“你还敢笑，尽在外面拈花惹草…”
234,亲人,申玉菲,魏成,办公室中的第三个人令汪淼很吃惊，居然是申玉菲的丈夫魏成，头发乱蓬蓬的，他抬头看看汪淼，好像已经忘记了他们见过面。
235,亲人,贾氏,黛玉,这林如海，姓林，名海，表字如海，乃是前科的探花，今已升兰台寺大夫。本贯姑苏人氏，今钦点为巡盐御史，到任未久。原来这林如海之祖也曾袭过列侯的，今到如海，业经五世。起初只袭三世，因当今隆恩盛德，额外加恩，至如海之父又袭了一代，到了如海便从科第出身。虽系世禄之家，却是书香之族。只可惜这林家支庶不盛，人丁有限，虽有几门，却与如海俱是堂族，没甚亲支嫡派的。今如海年已五十，只有一个三岁之子，又于去岁亡了，虽有几房姬妾，奈命中无子，亦无可奈何之事。只嫡妻贾氏生得一女，乳名黛玉，年方五岁，夫妻爱之如掌上明珠。见他生得聪明俊秀，也欲使他识几个字，不过假充养子，聊解膝下荒凉之叹。
236,喜欢,萧炎,小医仙,望着那端着蘑菇汤，没有丝毫犹豫，直接一口灌进肚的萧炎，小医仙俏脸上扬上一抹笑容，她很喜欢萧炎对她的这股信任。
237,喜欢,萧炎,小医仙,闻言，萧炎只得点了点头，转过身，迟疑了一会，又是转过来，望着那茫茫林海，突然沉声道：“小医仙，我不知道这些年你究竟发生了什么事，但我当年便说过，不管你变成什么样，我萧炎依然视你为朋友，这承诺，即便如今，也未曾有过丝毫动摇。”
238,上下级,常思伟,史强,与会的另外几名警官都在低声制止史强。史强敢对常伟思这样级别的首长这么说话，汪淼有些吃惊，而后者的反击更犀利。
239,对立,萧炎,加列奥,脑海中缓缓的回荡着父亲在说此话的严肃与冷漠，加列奥脸庞上的笑意，也是越加的狰狞，目光森然的瞥着不远处那脸色平静的萧炎，他似乎已然能够预感到，这位天才少年，将会夭折在自己手中。
240,对立,萧炎,白山,白山三人今日的举动，是真正的让的萧炎陷入了暴怒之中。
241,喜欢,萧炎,云韵,见到萧炎又是大庭广众下这般…云韵那绝美的脸颊便是变得羞红起来，微竖着柳眉，有些羞恼的道。
242,同一人,罗老师,罗辑,"“罗老师好。”她说。
 
 “你好。”罗辑说着站了起来，“外面很冷吧？”"
243,亲人,李氏,贾母,贾珠之妻李氏捧杯，熙凤安箸，王夫人进羹。贾母正面榻上独坐，两旁四张空椅。熙凤忙拉黛玉在左边第一张椅子上坐下，黛玉十分推让。贾母笑道：“你舅母和嫂子们是不在这里吃饭的，你是客，原该这么坐。”黛玉方告了坐，就坐了。贾母命王夫人也坐了。
244,上下级,韩子奇,梁亦清,韩子奇完全没有料到师傅会这么大动肝火地训斥他，他咽下了憋在喉头的话，恭顺地垂下头去，静静地听凭师傅数落，两串热泪顺着脸腮缓缓地流下来。梁亦清的话，使他在心中回顾了三个春秋的难忘历程，他感激师傅，没有师傅的收留，他也许至今还是一个流浪儿，也许在追随吐罗耶定巴巴前往远方朝圣的途中，早被不测风云结束了生命。
245,喜欢,萧炎,彩鳞,"萧炎心中轻轻的叹息了一声,旋即快步走上,从彩鳞怀中抱过小萧潇，狠狠的在后者光洁的小脸蛋上亲了一口，看着后者略微有些发苦的小脸，不由得哈哈大笑了起来。"
246,同级同伴,肯博士,罗宾逊将军,肯博士和罗宾逊将军的这个计划，是期望通过三体探测器在人造尘埃云中留下的尾迹精确测定它的轨道和位置。
247,对立,萧炎,云棱,萧炎眼睛虚眯，寒芒在眼眸中掠闪而过，目光缓缓在场中扫过，旋即停在了云棱身上，握着尺柄的手掌略微紧了紧，长长的吐了一口气，身体也是逐渐松懈了下来。
248,亲人,奇哥哥,韩太太,“壁儿……”他喘息着，张开干裂的嘴唇，叫着结发妻子的乳名，“我恐怕……要扔下你们了……”“奇哥哥！”年近六旬的韩太太还报以儿时的称呼，泪水从她那双惟淬的眼睛中滚落，“你不能走，你还能好，领着孩子们过……”
249,喜欢,萧炎,小医仙,两道目光在泛着淡淡雾气的池中对望着，片刻后，萧炎总算是回过神来，见到小医仙那羞红脸颊，顿时剧烈的干咳了一声，旋即目光赶忙转移。
250,亲人,我,家珍,第二天傍晚，我还和往常一样对家珍说进城去看有庆，家珍让我别去了，她要我背着她去村里走走。我让凤霞把她娘抱起来，抱到我背脊上。家珍的身体越来越轻了，瘦得身上全是骨头。一出家门，家珍就说：
251,亲人,李纨,探春,原来近日贾母说孙女们太多，一处挤著倒不便，只留宝玉黛玉二人在这边解闷，却将迎春、探春、惜春三人移到王夫人这边房后三间抱厦内居住，令李纨陪伴照管。
252,上下级,萧炎,药老,“今天我会用自己的力量来帮药老清理门户。”萧炎微笑道，笑容中的那份森然，充斥着不加掩饰的杀意。
253,亲人,韩子奇,新月,噢！”韩子奇感到震惊，虽然他知道新月的能力，但没有想到女儿的自信竟然达到了这种程度，好像已经把未来的命运牢牢地掌握在自己的手里！这使他十分欣慰，似乎心头的重负已经解脱了，“爸爸欣赏你敢于破釜沉舟的胆量！不要退路，退路从来都是留给……懦夫的
254,喜欢,萧炎,美杜莎,闻言，美杜莎黛眉微皱，让萧炎单身前往那危险重重的黑角域，她可是并不如何放心啊，不过萧炎所说也的确不假，如今的炎盟，至少需要一名斗宗强者坐镇。“要不我随你去吧？出云帝国毒宗已再无对手，我离开一段时间，也并无大碍。”瞧得美杜莎脸颊上的担心，一旁一直沉默的小医仙，却是突然道。
255,上下级,我,长根,"上私塾时我从来不走路，都是我家一个雇工背着我去，放学时他已经恭恭敬敬地弯腰蹲在那里了，我骑上去后拍拍雇工的脑袋，说一声：
 “长根，跑呀。” 雇工长根就跑起来，我在上面一颠一颠的，像是一只在树梢上的麻雀。"
256,亲人,萧炎,萧媚,"脚步微微一顿，萧炎并未转身，淡淡的语气，犹如陌生人间的对话：“有事？”

    平淡而生疏的语气，让得萧媚一滞，呐呐的摇了摇头：“没…”"
257,喜欢,萧炎,美杜莎,低沉的吼声自萧炎喉咙间爆而出，赤红的眼瞳泛着欲火的盯着美杜第女王那足以让得任何男人疯狂的娇躯，手掌一挥，一圈碧绿火焰便是闪掠而出，将美杜莎女王双手牢牢捆住。
258,喜欢,罗辑,庄颜,罗辑一直有一种感觉：庄颜和孩子是被他的想象带到这个世界上来的，想到这里他的心中一阵绞痛，在这个时刻，爱和思念无疑是最折磨人的东西。
259,对立,萧炎,穆蛇,阴森的盯着平静微笑的萧炎，穆蛇长枪缓缓举起，体内的斗气，在杀意的催动之下，开始了迅猛的奔腾，身体表面之上，淡青色的斗气，逐渐的破体而出，最后在体外形成一道薄薄的青色斗气纱衣。
260,对立,萧炎,穆力,“把东西交出来吧。留你个全尸。”双臂抱着胸口。穆力阴冷地瞥向萧炎。
261,同一人,常思伟,首长,"他抓住这个机会举手要求发言，没等常伟思表态就大声说道：“首长，我提个要求，以前提过的信息对等！”
 
  常伟思将军抬起头，“没有任何一个军事行动是信息对等的，这点也请到会的专家学者们谅解，我们不可能给你们介绍更多的背景资料。”"
262,上下级,新月,楚雁潮,新月是他这个班里最优秀、最有前途的学生，而从今之后，却再也不属于这个班了。去年，迎接她的是楚雁潮；今年，送走她的也是楚雁潮。一迎一送，有天壤之别，作为一名教师，他要忍受怎样的痛苦！
263,亲人,新月,天星,因为新月毕竟是天星的妹妹，而且兄妹之情是那么深
264,上下级,楚雁潮,罗秀竹,噢？”楚雁潮感到很吃惊，他没有想到在别人都去看电影的时候，这个独自在宿舍复习英语的同学不是罗秀竹，也不是郑晓京，而会是韩新月。如果说，他第一次见到新月的时候，感到的只是她的自信，那么，现在则似乎找到了她自信的原因了，“你这么刻苦啊？”“老师，我怕万一考不好……”新月说，又显出不那么自信。其实她心里想的是：我不能当第二名！
265,亲人,国王,冰沙王子,国王有两个儿子，分别是深水王子和冰沙王子，还有一个女儿：露珠公主。
266,对立,萧炎,穆力,“我拖住他了，快点杀了他！不惜代价！”一声阴冷的咆哮，从穆力的喉咙中吼出。萧炎此时所表现出来的实力，已经让得这位心机颇深地少团长有些惊慌了起来
267,亲人,秦钟,贾蓉,大家散了学，金荣自己回到家中，越想越气，说：“秦钟不过是贾蓉的小舅子，又不是贾家的子孙，附学读书，也不过和我一样，因他仗著宝玉和他相好，就目中无人。既是这样，就该干些正经事，也没的说，他素日又和宝玉鬼鬼祟祟的，只当人家都是瞎子，看不见。今日他又去勾搭人，偏偏撞在我眼里，就是闹出事来，我还怕什么不成？”
268,对立,治安军,人类,智子下达了消灭保留区外所有人类的命令，治安军彻底变成了魔鬼。他们驾驶着飞行车端着激光狙击枪，在空寂的城市和原野上像猎鹰一样盘旋，见到人类就杀。
269,喜欢,罗辑,庄颜,罗辑放慢脚步，与庄颜拉开了一段距离，他对这里的艺术品没有兴趣，只是欣赏着艺术世界中的她。那些古典油画上体形丰美的希腊众神、天使和圣母，从四面八方与他一同看着这位美丽的东方少女，她就像庭院中那座晶莹的金字塔，很快融为这艺术圣境中的一部分，没有她，这里肯定少了什么。罗辑陶醉在这如梦如幻的意境中，任时间静静地流逝。
270,亲人,希恩斯,惠子,“我早就该想到了，惠子，这我早就该想到了。”希恩斯说，他声音发颤，显得很虚弱。他早就知道妻子是蒂莫西·利里思想的信奉者，也看到她对使用技术手段改变人类思维的狂热向往，但他从没有把这些与她深深隐藏着的对人类的憎恶联系起来。
271,对立,萧炎,白山,“萧炎，希望你不会在选拔赛中被淘汰，弱者，是没有获得任何东西的权利，到时候，也希望你不要再躲在女人身后，薰儿认可的男人，不会是？”望着两人转身的背影，白山淡淡的道。
272,亲人,贾敬,贾珍,只剩了一个次子贾敬，袭了官，如今一味好道，只爱烧丹炼汞，别事一概不管。幸而早年留下一个儿子，名唤贾珍，因他父亲一心想作神仙，把官倒让他袭了。他父亲又不肯住在家里，只在都中城外和那些道士们胡羼。
273,同级同伴,张援朝,张援朝,邻居杨晋文是退休的中学教师，他常常劝张援朝，要想晚年幸福，就得学新东西，比如上网，小娃娃都能学会，你怎么就不能学呢？
274,上下级,宝玉,麝月,于是众奶母伏侍宝玉卧好了，款款散去，只留下袭人、媚人、晴雯、麝月四个丫鬟为伴。
275,对立,萧炎,云棱,“拦住他！”萧炎突如其来的举动，让得云棱脸色一寒，厉声喝道。
276,亲人,宝玉,黛玉,却说贾母见他进来，笑道：“外客没见就脱了衣裳了？－－还不去见你妹妹呢。”宝玉早已看见了一个袅袅婷婷的女儿，便料定是林姑妈之女，忙来见礼。
277,喜欢,萧炎,薰儿,"听得这两个名字，萧炎手掌猛的一抖，一张倾国倾城的绝美脸颊，带着一丝淡雅如莲的气质，在其脑海之中缓缓浮现，无论怎样，都是挥之不去。

    “薰儿”，

    深深的吸了一口气，萧炎漆黑眸中猛的涌上一股火热，那个女孩，从始至今，都是领得他牵肠挂肚。"
278,上下级,萧炎,药老,望着药老那惊喜的脸色，萧炎笑了笑，略微迟疑了一下，突然轻声道：”还有，老师那个叛师者，也己经被弟子清理了。轻轻的声音，却是令得药老顷刻间怔了下来，好片刻后，方才使劲的吐了一口气，面色说不清是悲戚还是解脱，手掌轻缓而沉重的拍在萧炎投上，低沉得令人略有些心酸的苍老声音，在后者耳边排细。”多谢了，小家伙！“
279,喜欢,萧炎,薰儿,感受着体内那种迅速充盈起来的感觉，萧炎低头，轻吻住薰儿那微翘的红唇，那浩瀚无匹的能量，也是如同潮水一般，疯狂的涌进后者身体之中。
280,喜欢,萧炎,薰儿,薰儿脸颊再度泛红，急忙伸出玉手挡在萧炎嘴前，却是被后者一把抓住玉臂，待得她以为萧炎又要做坏事时，却是见到那对漆黑眸子中，蕴含着难以掩饰的情意。
281,上下级,梁亦清,易卜拉欣,“第一代？”梁亦清面对着祖上的墓地，却难以回答。年代太久远了，他只知道，传给他水凳儿的，是自己的父亲，父亲又是从巴巴的手里接过来的，这样一代一代推算上去，究竟第一代是哪位先人呢？他识不了几个字，又没有家谱，对于自己的历史渊源，知道得太少了。他遗憾地叹了口气，“说不准，师傅也说不准啊！”易卜拉欣却用执拗的眼睛看着师傅，他想探究过去的一切。
282,亲人,易卜拉欣,吐罗耶定,易卜拉欣抽出了自己的手，擦了擦眼泪，愣愣地看着抚养他长大成人、带着他跨过千山万水的吐罗耶定，突然跪了下来：“巴巴，原谅我！我不能跟您走了！
283,喜欢,萧炎,萧媚,期间在家族中偶尔遇到萧媚，听着她那甜腻腻的萧炎表哥的称呼，萧炎也是淡淡一笑，随意应付了事，对于太过现实的女人，他一向都是保持着敬而远之的态度。
284,亲人,韩子奇,韩太太,“我知道，你不想让她报考北大……”韩子奇发出一声深深的叹息，这叹息似乎包含着许许多多在心中憋了好久的言语，而他又没有说出。对妻子，他不必说，韩太太也完全明白；对女儿，他不能说，不能让新月明白。
285,对立,萧炎,云棱,“老杂种，死吧！”萧炎咧嘴狞笑，眼睛赤红的嘶吼咆哮，“萧炎，我真没伤你父亲，真的啊！是他自己失踪的！”感受到萧炎的杀意，云棱脸色一阵惨白，身体急速下降着，尖声叫道。
286,同一人,执剑人,程心,"“喂，执剑人吗？”
 
 “我是程心，我一直在找你。”
 
 “找我干什么？你还以为自己是救世主吗？”"
287,喜欢,罗辑,她,“真暖和，真好！”她看着火，像那一夜在壁炉前那样高兴起来，罗辑也再一次被火光中的她迷住了，他被一种从未有过的柔情所淹没，感觉自己和这篝火一样，活着的唯一目的就是给她带来温暖。
288,上下级,梁亦清,韩子奇,“小奇子！”梁亦清突然从水凳儿前站起来，严厉地叫了一声。“师傅……”韩子奇一惊，从无边的幻想中被拉回来了，惶恐地看着师傅。三年来，师傅还是第一次这么发火儿，也是第一次喊他这个早已被“韩子奇”取代了的乳名！
289,上下级,萧炎,药老,“臭小子，现在还说这些话，年轻人不冲动，不鲁莽，还叫做年轻人么？”药老一巴掌拍在萧炎肩膀上，笑骂道。
290,同级同伴,坎特,罗辑,"大史出去后，坎特很快进来了，他又恢复了联合国官员那副彬彬有礼的表情。
 
 “罗辑博士，我本想等您的身体恢复后再来看您。”
 
 “你现在在这里干什么？”
 
 “我负责您与行星防御理事会的日常联络。”"
291,喜欢,萧炎,云韵,“我相信，现在的云韵，才是当年那个山洞中的云芝。”凝视着那张本来布满高贵雍容，此刻却是有些小女孩般慌乱的美丽脸颊，萧炎忽然响起当年山洞中那段旖旎而温馨的日子，原本冷漠地声音，变得轻柔了许多。
292,同一人,宝二叔,宝玉,秦氏笑道：“今日可巧。上回宝二叔要见我兄弟，今儿他在这里书房里坐著呢。为什么不瞧瞧去？”宝玉便要去见。尤氏忙吩咐人：“小心伺候著，跟了去。”凤姐道：“既这么著，为什么不请进来，我也见见呢？”尤氏笑道：“罢，罢！可以不必见。比不得偺们家的孩子，胡打海摔的惯了的。人家的孩子都是斯斯文文的，没见过你这样‘泼辣货’，还叫人家笑话死呢。”凤姐笑道：“我不笑话他就罢了，他敢笑话我！”贾蓉道：“他生的靦腆，没见过大阵仗儿，婶子见了没的生气。”凤姐啐道：“呸！扯臊！他是哪吒，我也要见见。别放你娘的屁了！再不带来，打你顿好嘴巴子！”贾蓉溜湫著眼儿，笑道：“何苦婶子又使利害？我们带了来就是了。”－－凤姐也笑了－－说著出去，一会儿，果然带了个后生来。比宝玉略瘦些，眉清目秀，粉面朱唇，身材俊俏，举止风流，似更在宝玉之上。只是怯怯羞羞，有些女儿之态，靦腆含糊的向凤姐请安问好。凤姐喜的先推宝玉，笑道：“比下去了！”便探身一把攥了这孩子的手，叫他身旁坐下，慢慢问他年纪、读书等事，方知他学名叫秦钟。
293,同一人,张援朝,老张,张援朝听到客厅有人不敲门就闯了进来，“老张”、“张师傅”地喊着。
294,上下级,萧炎,药老,望着笑呵呵的药老，萧炎眼睛有点红，他一身本事，皆是药老倾力所授，若非药老的话，即使当年萧炎的修炼天赋并未消失，或许其如今充其量也只是成为加玛帝国的强者而已，天才，在大陆上，永远都不缺乏，多他一人不多，少他一人不少。
295,喜欢,萧炎,小医仙,闻言，小医仙迟疑了一下，望向萧炎，后者对着她微微点了点头，她这才轻声道：“那你们小心一些。”
296,亲人,有庆,我,我说：“有庆，爹有事要跟你说。”
297,同级同伴,韩子奇,老侯,韩子奇把奇珍斋的生意托付给多年共事的账房老侯和伙计们，这几个人都是他的患难之交，是他的忠实奴仆，交给他们，是可以放心的。
298,喜欢,萧炎,云韵,“我才不知道那些大道理。”提及此事，云韵眼睛便是略微有些泛红，她同样知道这件事从萧炎的立场来说，他并没有错，但云岚宗毕竟是养育她这么多年的地方，但当初却是被这家伙说解散就解散了。
299,亲人,林如海,贾氏,这林如海，姓林，名海，表字如海，乃是前科的探花，今已升兰台寺大夫。本贯姑苏人氏，今钦点为巡盐御史，到任未久。原来这林如海之祖也曾袭过列侯的，今到如海，业经五世。起初只袭三世，因当今隆恩盛德，额外加恩，至如海之父又袭了一代，到了如海便从科第出身。虽系世禄之家，却是书香之族。只可惜这林家支庶不盛，人丁有限，虽有几门，却与如海俱是堂族，没甚亲支嫡派的。今如海年已五十，只有一个三岁之子，又于去岁亡了，虽有几房姬妾，奈命中无子，亦无可奈何之事。只嫡妻贾氏生得一女，乳名黛玉，年方五岁，夫妻爱之如掌上明珠。见他生得聪明俊秀，也欲使他识几个字，不过假充养子，聊解膝下荒凉之叹。
300,亲人,萧炎,萧媚,微微张着红唇，萧媚望着那没有理会自己的萧炎，在愣了一会之后，美丽的小脸上拉起一抹自嘲，轻轻的摇了摇头，想起自己这几年对待萧炎的态度，刚刚那升起的一抹怨气，也是逐渐的消散。
301,上下级,舰队司令,章政委,吴舰长，舰队司令部给你和章政委的紧急命令：你们二位立刻去总参报到。
302,对立,萧炎,云山,萧炎的无视，也是令得云山脸皮抖了抖，旋即森冷一笑，身形猛然一动，一道残影浮现。而其身形，却是已如鬼魅般，陡然浮现萧炎面前！
